name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
Triple Room With City View,This tastefully decorated room has an elegant interior with vintage color accents. The modern walk-in shower has a rain shower head.,Centrum-West,Room in hotel,Private room,3,1.0,1.0,3.0,['High chair'],323,4.75,269.0
Private loft next @Vondelpark with PRIVATE parking,"Vintage & private loft centrally situated in the heart of Amsterdam, next to the famous Vondelpark, Museumplein, Leidseplein and Foodhallen. Consists of 2 separate bedrooms, sleeps 4 persons total, of which one can be made as double room. A bright spacious living room, bathroom and a basic pantry ( no stove), all private! Perfect for two couples or a family interested in Culture. Friendly host who is happy to share his secret city spots.",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,4,1.0,2.0,5.0,['Bathtub'],275,4.62,254.0
Ecoluxe accommodation 'The Green Tunnel',"Spacious, ground level private ecoluxe two-room accommodation with sweeping views across the water and with bathroom and pantry. Including a charming lush waterside garden and floating terrace with lawn chairs. Your private jetty provides direct access to the natural swimming water. Free parking. Explore new city district IJburg with striking architecture, bustling harbor, many restaurants and shops and a splendid park. The tram around the corner brings you downtown Amsterdam in 15 minutes.",IJburg - Zeeburgereiland,Private room in guesthouse,Private room,4,1.5,2.0,2.0,"['Barbecue utensils', 'Private backyard – Fully fenced', 'Babysitter recommendations', 'Outdoor furniture', 'Canal view', 'Children’s dinnerware', 'Pack ’n play/Travel crib', 'Board games', 'Outdoor dining area', 'High chair']",10,4.74,203.0
Appartment in centre with jacuzzi,Ideal for a family and is equipped with all the necessary luxury. The apartment is 50 meters from the beautiful Rembrandtpark and is also very conveniently located there in addition to the center.,De Baarsjes - Oud-West,Entire loft,Entire home/apt,4,2.0,2.0,2.0,['Outdoor dining area'],60,4.644438018122229,375.0
Amazing apartment canal view and private terrace!,Great place to stay in the middle of the city centre. Close to the Ann Frank house and with a view on the canals. Super luxury apartment with a private brand-new sunny terrace!,Centrum-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Barbecue utensils', 'Outdoor furniture', 'Blender', 'Canal view', 'Free dryer – In unit', 'Board games', 'Outdoor dining area', 'Baking sheet']",247,4.71,599.0
Private Stairway to heaven,"Privat trendy loft studio at the attick of an authentic old Amsterdam house from 1880<br />Located in ""hip"" neighborhood near de Foodhallen en daily outdoor market.<br />Authentic old dutch house with steep narrow stairs.<br />Not suitable for elderly, disabled or very large suitcases, for you have 3 times 15 steps to climb.",De Baarsjes - Oud-West,Private room in guest suite,Private room,2,1.5,1.0,1.0,[],40,4.77,109.0
Beautiful Amsterdam family home,"Unique and very comfortable 3 bedroom family home on one of the most special streets in Amsterdam. Situated on an old dike, surrounded by nature and with the ease of the city at your fingertips.<br /><br />Enjoy a side of Amsterdam you've never seen before. With friends or with your family: quality time guaranteed. Whether you want to go for long walks or enjoy hip & happening restaurants & bars. Anything goes. Suitable for 6 adults and 2 kids",Oud-Noord,Entire home,Entire home/apt,8,2.0,3.0,3.0,"['Outdoor furniture', 'High chair', 'Children’s books and toys', 'Outdoor dining area']",30,4.75,250.0
NEW: Spacious apartment with park views!,"This centrally situated apartment is a dream for couples or solo-travelers.<br /><br />It's bathed in natural light and boasts stunning views of the water and the park!<br /><br />Attention to all cat lovers: You'll be sharing this cozy space with my furry friend, Napoleon!",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],11,4.33,195.0
Stylish modern two bedroom ground floor apartment,"Kick back and relax in this calm, stylish space.",De Pijp - Rivierenbuurt,Entire serviced apartment,Entire home/apt,4,1.5,2.0,2.0,"['Free washer – In unit', 'Barbecue utensils', 'Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Coffee maker: espresso machine', 'Bathtub', 'Free dryer – In unit', 'Pack ’n play/Travel crib', 'Board games', 'Outdoor dining area', 'High chair', 'Baking sheet']",342,4.91,375.0
"Spacious apartment, Canal area (City center)","Situated on the canal area, just 5 minutes walking from Central station Amsterdam. The apartment has a large layout ato accomadate all your needs on top of that it is very quite. Shopping, restaurants, bars are all around the corner.",Centrum-West,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,[],355,4.644438018122229,293.0
